avg_quant_gre,c_mech_mean,city,name,state,url
158,1.9,Bozeman,Montana State University,MT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/montana-state-university-02099
156,1.9,Miami,Florida International University,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/florida-international-university-02044
,1.8,Grand Forks,University of North Dakota,ND,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-north-dakota-02136
154,1.8,Kansas City,University of Missouri--Kansas City,MO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-missouri-kansas-city-02243
158,1.8,Denver,University of Denver,CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-denver-02230
158,1.8,Washington,The Catholic University of America,DC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-catholic-university-of-america-02039
156,1.8,Cookeville,Tennessee Technological University,TN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/tennessee-technological-university-02166
158,1.8,Carbondale,Southern Illinois University--Carbondale,IL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/southern-illinois-university-carbondale-02199
164,1.8,Santa Clara,Santa Clara University,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/santa-clara-university-02019
158,1.8,St. Louis,Saint Louis University (Parks),MO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/st-louis-university-02255
159,1.8,Portland,Portland State University (Maseeh),OR,https://www.usnews.com/best-graduate-schools/top-engineering-schools/portland-state-university-02151
,1.8,Rochester,Oakland University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/oakland-university-02086
,1.8,Flagstaff,Northern Arizona University,AZ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/northern-arizona-university-02557
150,1.8,Greensboro,North Carolina A&T State University,NC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/north-carolina-a--t-state-university-02131
156,1.8,Socorro,New Mexico Institute of Mining and Technology,NM,https://www.usnews.com/best-graduate-schools/top-engineering-schools/new-mexico-institute-of-mining-and-technology-02111
,1.8,Southfield,Lawrence Technological University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/lawrence-technological-university-02248
154,1.8,Cleveland,Cleveland State University (Washkewicz),OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/cleveland-state-university-02222
157,1.8,Long Beach,California State University--Long Beach,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/california-state-university-long-beach-02246
,1.7,Chattanooga,University of Tennessee--Chattanooga,TN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-tennessee-chattanooga-02409
158,1.7,Memphis,University of Memphis (Herff),TN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-memphis-02165
163,1.7,Fairbanks,University of Alaska--Fairbanks,AK,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-alaska-fairbanks-02228
,1.7,Brookings,South Dakota State University,SD,https://www.usnews.com/best-graduate-schools/top-engineering-schools/south-dakota-state-university-02164
159,1.7,Fargo,North Dakota State University,ND,https://www.usnews.com/best-graduate-schools/top-engineering-schools/north-dakota-state-university-02135
,1.6,New Orleans,University of New Orleans,LA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-new-orleans-02070
,1.6,Beaumont,Lamar University,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/lamar-university-02170
,1.5,Detroit,University of Detroit Mercy,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-detroit-mercy-02087
